Standardized_SMILES,Scaffold,Measurement_Value_scaled
COc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)cc1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.041611248381599235
COc1cccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.041611248381599235
O=C(Nc1ccc(-c2cccc(F)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.17616936135470912
O=C(Nc1ccc(-c2cccc(Br)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.9450728640581918
Cc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c(Cl)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0027406267609518
O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.1949665024368232
Cc1cc(C)cc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.8681825137878435
O=C(Nc1ccc(-c2cc(Cl)cc(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.1949665024368232
O=C(Nc1ccc(-c2cc(I)cc(I)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.9638700051403042
Cc1cc(C)c(Cl)c(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0027406267609518
O=C(Nc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.387192378112693
Cc1cc(C)c(C)c(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0604083894637133
O=C(Nc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.5794182537885646
O=C(Nc1ccc(-c2c(I)cc(I)cc2I)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,2.732773507843787
Cc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)cc1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972
Cc1cccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972
O=C(Nc1ccc(-c2cccc(Cl)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.8105147510850819
O=C(Nc1ccc(-c2ccc(I)cc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,1.1565213273016481
COc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c(F)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789
O=C(Nc1ccc(-c2ccc(F)c(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504
COc1cc(OC)cc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.23383712405747076
O=C(Nc1ccc(-c2cc(F)cc(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504
O=C(Nc1ccc(-c2cc(Br)cc(Br)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,1.5217504910858028
COc1cc(OC)c(F)c(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789
O=C(Nc1ccc(-c2cc(F)c(F)c(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972
COc1cc(OC)c(OC)c(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.09927901108436085
O=C(Nc1ccc(-c2cc(F)cc(F)c2F)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972
O=C(Nc1ccc(-c2c(Br)cc(Br)cc2Br)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,2.098428118113414
COc1ccc(NC(=O)c2cc3sc(N4CCOCC4)nc3s2)c2ccccc12,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,-0.3428405029701404
O=C(Nc1ccc(F)c2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,-0.5350663786460119
O=C(Nc1ccc(Br)c2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,0.17616936135470912
Cc1ccc(NC(=O)c2cc3sc(N4CCNCC4)nc3s2)c2ccccc12,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,-0.09294686459150894
O=C(Nc1ccc(Cl)c2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,-0.016056514321160686
O=C(Nc1ccc(I)c2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789
COc1ccc(NC(=O)c2cc3sc(N4CCOCC4)nc3s2)c2c1CCCC2,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,-0.15061462729427058
O=C(Nc1ccc(F)c2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,-0.3428405029701404
O=C(Nc1ccc(Br)c2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,0.3683952370305789
Cc1ccc(NC(=O)c2cc3sc(N4CCNCC4)nc3s2)c2c1CCCC2,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.09927901108436085
O=C(Nc1ccc(Cl)c2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.17616936135470912
O=C(Nc1ccc(I)c2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1C=CC=CCCCCCCCC/C=C/OC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,0.022388660814012595
O=C(Nc1ccc(-c2ccc(F)cn2)cc1)c1cc2sc(NCCN3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(NCCN3CCOCC3)nc2s1,0.4452855873009272
O=C(Nc1ccc(-c2cccs2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2cccs2)cc1)c1cc2sc(N3CCOCC3)nc2s1,-0.18905980242944384
O=C(Nc1ccc(-c2ccco2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccco2)cc1)c1cc2sc(N3CCNCC3)nc2s1,-0.8426277797274041
O=C(Nc1ccc(-c2cccnc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2cccnc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,-1.0925214181060363
O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(N3CCNCC3)nc2s1,-0.977185892700514
